id,name,party,sector,type
UVDL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingelbeil,SPD,Politik,1
NR,Norbert Röttgen ,CDU,Politik,2
SW,Sarah Wagenknecht,Die Linke,Politik ,1
CS,Constanze Stelzenmüller,keine,Wissenschaft,1
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel ,keine,Wissenschaft,1
LM,Ljudmyla Melnyk,keine,Wissenschaft,1
KD,Kristina Dunz,keine,Journalistin,2
AB,Annalena Baerbock,Bündnis 90 die Grünen,Politik,1
FT,Frans Timmermans,keine,Politik,2
AM,Andrij Melnyk,keine,Politik,2
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,keine,Militaer ,2
RH,Robert Habeck,Bündnis 90/ Die Grünen ,Politik,1
CM,Claudia Major,keine,Wissenschaft,1
KP,Katja Petrowskaja,keine ,Journalistin ,1
RK,Roderich Kiesewetter,CDU,Politik ,1
CLA,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,keine,Politik ,2
CH,Christoph Heusgen,keine,Militaer ,2
MW,Marina Weisband,keine ,Journalistin,1
OS,Olaf Scholz,SPD,Politik,1
EL,Egis Levits ,keine ,Politik,1
